"LibraryCode"	"LibraryBarcode"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"
"hdz8"	18	5940	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	19	10196	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	20	2937	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	21	11614	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	22	12697	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	23	12155	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	24	25	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz9"	1	11854	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	2	6397	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	3	15664	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	4	5966	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	5	6665	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	6	11592	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	7	5120	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	8	16075	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	9	14484	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	10	5724	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	11	17546	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	12	19257	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	13	7596	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	14	12739	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	15	5602	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	16	8562	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	17	10248	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	18	5356	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	19	10029	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	20	8712	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	21	9210	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	22	10891	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	23	5263	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz9"	24	27	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086
"hdz10"	1	4843	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	2	3609	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	3	3165	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	4	2259	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	5	0	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	6	2998	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	7	0	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	8	4202	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	9	3500	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	10	1597	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	11	3596	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	12	4534	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	13	4011	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	14	3401	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
"hdz10"	15	4981	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915
